Name,Lat,Lon
 BY-BS-01,-29.37935,152.97152
 BY-US-01,-29.38235,152.96953
 BY-US-02,-29.38238,152.99271
 BY-BS-02,-29.37993,152.99109
 BY-US-03,-29.3818,153.00101
 BY-BS-03,-29.37831,153.00122
 WP-BR-01,-29.47497,152.33365
 WP-UR-01,-29.47539,152.33475
 WP-BR-02,-29.47405,152.33317
 WP-UR-02,-29.47416,152.33453
16,-29.47404,152.33342
17,-29.47404,152.33342
18,-29.47405,152.33343
19,-29.47405,152.33344
20,-29.47406,152.33345
21,-29.47406,152.33346
22,-29.47406,152.33346
4,-33.82809,151.20543
 QUOLL,-28.56671,153.31168
 NC03EDIT,-28.56153,153.31546
 NC01EDIT,-28.5631,153.31261
 CP,-28.56888,153.31139
 NC-BR-01,-28.56537,153.31374
 T1-01-UR,-28.56374,153.31387
 NC-BR-02,-28.56498,153.31506
 NC-UR-02,-28.56427,153.31542
 BF-UR-EH2,-28.57715,153.35193
 BF-UR-01,-28.58118,153.36098
 BF-BR-01,-28.58241,153.36094
 BF-UR-BFEH3,-28.58246,153.35471
 NC-UR-01,-28.56602,153.31297
 INT,-28.57823,153.33206
 GG-BR-01,-28.57415,153.33192
 GG-BR-01,-28.57415,153.33192
 GG-UR-01,-28.57403,153.33336
 GG-2,-28.57637,153.3321
 GG-UR-2,-28.57652,153.33298
 GG-BR-02,-28.57616,153.33164
 BR-UR-01,-28.34934,152.71634
 BR-BR-02,-28.34405,152.71195
 BR-BR-03,-28.34542,152.71283
 BR-UR-02,-28.34693,152.71242
 BR-UR-03,-28.34734,152.71413
 BR-BR-04-ED,-28.3714,152.75528
 BR-BR-05,-28.37223,152.75636
 BR-UR-05,-28.37152,152.75738
 BR-UR-04,-28.37007,152.75561
 TL-UR-01,-28.48215,152.40132
9,-28.47954,152.40223
 GG-UR-04,-28.6064,153.32706
 GG-UR-03,-28.57882,153.33191
 GG-BR-03,-28.57805,153.33089
 BR-BR-01,-28.35016,152.71683
 TL-US-02,-28.51289,152.35502
 TL-BS-02,-28.50669,152.36101
 TL-US-03,-28.5041,152.36208
 TL-US-01,-28.51468,152.35282
 TL-BS-03,-28.49172,152.37166
 TL-BS-01,-28.51084,152.35974
 MP-OPTION,-29.05958,152.71095
 MP-BS-01,-29.05244,152.72817
 MP-US-01,-29.04936,152.7284
 MP-US-02,-29.0598,152.71152
 MP-BS-02,-29.05917,152.70983
 GL-BS-01,-28.82305,152.25917
 GL-US-01,-28.82358,152.25763
 GL-BS-02,-28.82611,152.26036
 GL-US-02,-28.82651,152.25853
 GL-US-03,-28.87809,152.28963
 GL-BS-03,-28.8784,152.29175
 GL-US-04,-28.88227,152.27762
 GL-BS-04,-28.88302,152.2794
 GI-US-01,-28.92435,152.26003
 GI-BS-01,-28.92465,152.26316
 GI-US-02,-28.92066,152.26491
 GI-BS-02,-28.9193,152.26756
 GI-US-03,-28.9161,152.26296
 GI-BS-03,-28.91557,152.26582
 GI-US-04,-28.91281,152.2638
 GI-BS-04,-28.91269,152.26639
 GI-US-05,-28.91047,152.26395
 GI-BS-05,-28.90999,152.26642
 STARTFIRE,-28.5406,153.29325
 UREDGE,-28.53959,153.30062
 MN-UR-01,-28.54046,153.30116
 MN-BR-01,-28.53931,153.30027
11,-29.44689,152.84166
12,-29.4474,152.84599
 FC-BS-01,-29.44624,152.84676
 FC-US-01,-29.44876,152.84543
 FC-US-02,-29.44744,152.84125
 FC-BS-02,-29.44534,152.84221
13,-29.44376,152.83849
 FC-BS-03,-29.44345,152.83972
 FC-US-03,-29.44381,152.83728
14,-29.38014,153.00162
15,-29.38107,152.99159
